MID,Merchant_Name,CONTACT_new,Address,City,Area,addres2,additional location,Telp,Company,Head_Office,status
80309102,CELEBES HOTEL HASANUDDIN,IBRAHIM EDENTON,JL SULTAN HASANUDDIN,MAKASSAR,MAKASSAR,,,0511-3255966,,, 
80309100,HOTEL CELEBES,IBRAHIM EDENTON,JL.G.LATIMOJONG,MAKASSAR,MAKASSAR,,,,,, 
80277902,MOMPARI,SUDJIANTO SUTANTO,HL. PASAR IKAN,MAKASSAR,MAKASSAR,,,,,, 
80274300,GENIUS COMPUTER,MAXSI TOTOK,JL.S.SADDANG,MAKASSAR,MAKASSAR,,,,,, 
80267501,TIME INTERNASIONAL,BENNY ADIYANTO/JENLY SELI,MARI MALL,MAKASSAR,MAKASSAR,,,,PT Citra Nusa Insan Cemerlang,Jakarta, 
80267500,INTERNASIONAL ARLOJI,BENNY A,JL USMAN JAFAR 2 F,MAKASSAR,MAKASSAR,,,,,, 
80234019,ADIDAS,JANE N,MALL PANAKUKANG,MAKASSAR,MAKASSAR,,,,,, 
80234014,KIDZ STATION,RETNO,MALL PANAKUKANG,MAKASSAR,MAKASSAR,,,,,, 
80234012,SPORT STATION,JANE N,MALL PAN AKUKANG HALL,MAKASSAR,MAKASSAR,,,,,, 
80226301,TOKO MILLENIUM,ALEX SUTJIANTO,JL KARUNRUNG NO 20,MAKASSAR,MAKASSAR,,,,SURYANTO,, 
80213500,IMPRESIONS BODY CARE,RONI I HENDRAWAN,JL S SADDANG,MAKASSAR,MAKASSAR,,,022-5404291,,, 
80105603,GRAMEDIA,,MALL PANAKUKANG,MAKASSAR,MAKASSAR,,,022-2503035,,, 
79145700,travisata,MEIDY OLGA ANGDI,Jl. Diponegoro no.1a,MANADO,MAKASSAR,,,022-4208040,,, 
79144900,Impressions Body Care,FREDDY SUTEDY,MTC,MANADO,MAKASSAR,,,022-7301110,,, 
79135700,RM Ria Rio,KAREL ERENST.N,Kalasey,MANADO,MAKASSAR,,,022-7323645,,, 
79122300,Rudy Walakandou,RUDDY WALAKANDOUW,Megamall,MANADO,MAKASSAR,,,022-4201010,,, 
79120700,Toko Emas Logam Mulia,LENNY MAMARIMBING,JL Walanda Maramis,MANADO,MAKASSAR,,,022-4239418,,, 
79101500,Julia Jewelry,DIDY HARTONO,Megamall,MANADO,MAKASSAR,,,022-7304687,,, 
79099900,Café OhLala,ROBBY KANDOU,Megamall,MANADO,MAKASSAR,,,022-7231346,,, 
79086500,FIP,ALEX W,Jl. MT Haryono no.19,MANADO,MAKASSAR,,,022-2031094,,, 
79085700,UD Maesa,TREISJE LALUJAN,BW Lapian no.27,MANADO,MAKASSAR,,,022-4205100,,, 
79084900,Pin Gallery,RATNA D WALILIONG,Megamas,MANADO,MAKASSAR,,,022-4205100,,, 
79083100,Monpari Manado,TJIU YENIWATI,Ruko Megamas,MANADO,MAKASSAR,,,022-4205100,,, 
79082300,RM City Extra,WELLEM INKIRIWANG,Kalasey I,MANADO,MAKASSAR,,,022-9101372,,, 
79081500,Queen Mitra Bersatu,JUSTINUS TANDAYU,Jl. Martadinata no.67,MANADO,MAKASSAR,,,022-2033413,,, 
79076500,Steiner Salon&Spa,HANNY SEMBUNG,Jl. Tikala Ares no.11,MANADO,MAKASSAR,,,022-7102488,,, 
79056304,OPS Manado,JEMMY WANTONO,Bandara Samratulangi,MANADO,MAKASSAR,,,022-6126437,,, 
79039104,Sport station,RIKKY,Megamall,MANADO,MAKASSAR,,,022-4219292,,, 
79003000,Hill Top - Kwong Bing Rest.,IR. AGUSTINE MT,Kel. Tanjung Batu,MANADO,MAKASSAR,,,022-6128777,,, 
78043100,PT. ANGKASA BUANA TRAVEL,INDRA SAFERIUS,Jl. Monginsidi,PALU,MAKASSAR,,,022-6128777,,, 
78041500,GRAND HERO,HERLINA CHANDRA,Jl. Basuki Rahmat,PALU,MAKASSAR,,,022-6128777,,, 
78040700,PT. PALU MITRA UTAMA,MEILIL THERESIA,Jl. Monginsidi,PALU,MAKASSAR,,,022-6128777,,, 
78035500,BUMI NYIUR MINI MARKET,ALEX IRAWAN,Jl. S. Parman,PALU,MAKASSAR,,,022-6128777,,, 
78035500,MASTER NEW ICE,ALEX IRAWAN,,PAKU,MAKASSAR,,,022-6128777,,, 
78009800,PALU GOLDEN HOTEL,PETER GOZAL,Jl. Raden Saleh,PALU,MAKASSAR,,,022-6128777,,, 
78001500,TOSERBA SENTOSA,SANTOSO SOEMARTO,Jl. Monginsidi,PALU,MAKASSAR,,,022-6128777,,, 
77790500,SWALAYAN ADE,CHADIDJAH AKHMAD,Jl. MT. Haryono No. 52 A-B,KENDARI,MAKASSAR,,,022-6128777,,, 
74327500,Toko Mega Ban,KAMARUDIN,Jl. Jend. Sudirman 150,Sampit,BALIKPAPAN,,,022-6128777,,, 
74325900,Berkat Mitra,BAMBANG SISWANTO,Jl. DI Panjaitan NO 27,Sampit,BALIKPAPAN,,,022-6128777,,, 
74323300,Kusuka Swalayan,KHANIS BUDI KURNIAWAN,Jl.Sutoyo Sampit,Sampit,BALIKPAPAN,,,022-6128777,,, 
74322500,PT Kaha Safira,BP H SUWARNO,Jl.Usman Harun Sampit,Sampit,BALIKPAPAN,,,022-6128777,,, 
74318300,Plaza Sampit,PAULUS INDRA M,Jl.MT.Haryono,Sampit,BALIKPAPAN,,,022-6128777,,, 
74302900,Rejeki Swalayan,EDDY HERMANTO,Jl. A.Yani Sampit,Sampit,BALIKPAPAN,,,022-6128777,,, 
62147900,Istana Mobil Trio Motor,ADIGUNA WIJAYA,"Jl. Jl. A. Yani Km.7,3",Banjarmasin,BALIKPAPAN,,,022-6128777,,, 
62146100,Karunia Supermarket,DARWIN TEGUH,Jl. A. Yani Km.1 No.86,Banjarmasin,BALIKPAPAN,,,022-6128777,,, 
62133700,PT. Mitra Cakrawala Indoban,WIRANATA HALIM,"Jl. A. Yani Km, 8 No. 38",Banjarmasin,BALIKPAPAN,,,022-6128777,,, 
62121100,Fuji Image Plaza,M.FADLI,Jl. Jend. A. Yani Km. 4 No.10-11,Banjarmasin,BALIKPAPAN,,,022-6128777,,, 
62120300,SALON DAY SPA MARTHA TILLAR,DJUNAIDI LEMBONG,Jl.Pramuka Komp.Mitra Mas,Banjarmasin,BALIKPAPAN,,,022-6128777,,, 
62118700,TOKO SUN CHLORELLA,GUNAIDI,Jl.Veteran No.19 RT.21,Banjarmasin,BALIKPAPAN,,,022-6128777,,, 
62117900,RS.SARI MULIA,AIZAR SOEDARTO,Jl.P.Antasari No.139,Banjarmasin,BALIKPAPAN,,,022-6128777,,, 
62115300,PT.CNI,IMAM SUKENDRO,Jl.Anang Adensi No.14,Banjarmasin,BALIKPAPAN,,,022-6128777,,, 
62095900,SPORT STATION,ROSMEINI,Jl.MT.Haryono  No.17,Banjarmasin,BALIKPAPAN,,,022-6128777,,, 
60344900,MILENIA COMPUTINDO,WILYAN CANDRA,KOMP. BALIKPAPAN PERMAI,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60341500,SURYATAMA,WU MARTIEN BRATAMI,JL A YANI,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60339900,SANDJAYA HANDPHONE,SACING DARMALAM,KOMP. BALIKPAPAN PERMAI,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60336500,BM SPORT,RUDY MUWANTO,JL MT HARYONO,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60326500, KERATON'S FURNITURE,ARY DJATIKUSUMA, JL. MT HARYONO,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60318100,PRO BABY,KWANG CENNI,JL. A. YANI,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60310700,PRIMA BEAUTY CENTER,SITI FAUZIAH,RUKO MAL FANTASI,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60275702,TOKO ADIDAS,RYAN EKO S,Plaza Balikpapan,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60260700, PLAZA TEKSTIL,H IMTIYAZ ALI MM, JL. PANDAN SARI,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60259900, KIDS PARTY,TAN MELIANA SANTOSO, MAL FANTASI,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60253100, LONDON BEAUTY CLINIC,ANTON YUWONO, RUKO MAL FANTASI,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60248100, GOSH,WEDIAHWATI, PLAZA BALIKPAPAN,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60246500, RODA LINK,SUWITO LAWINATA,JL. A. YANI,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60237300, CNI,ADI ARDIANSYAH,JL. JEND SUDIRMAN,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60224909, POLO,JEMMY WANTONO, BANDARA SEPINGGAN,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60224905, POLO,JEMMY WANTONO, BANDARA SEPINGGAN,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60224900, POLO,JEMMY MANTONO, PLAZA BALIKPAPAN,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60200900, BLUE SAFIR,RIYAD A, KEBUN SAYUR SHOPPING,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60185300, RESTAURANT SHANGHAI,NANTIA SUNARY,JL. JEND SUDIRMAN,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60155500, MONPARI,SUDJIANTO SUTANTO, PLAZA BALIKPAPAN,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60142706, SPORT STATION ( BP ),ROSMEINI, MAL BP,BALIKPAPAN,BALIKPAPAN,,,022-6128777,,, 
60142702, SPORT STATION,MINI, PLAZA BALIKPAPAN,BALIKPAPAN,BALIKPAPAN,,,022-7318876,,, 
